PSA Code,Station Name,RAWSID
EA01,NW MN,210301
EA01,NW MN,210405
EA01,NW MN,210901
EA01,NW MN,210801
EA01,NW MN,211604
EA01,NW MN,210203
EA01,NW MN,211502
EA01,NW MN,212601
EA02,SW MN/Nrn IA,215601
EA02,SW MN/Nrn IA,214001
EA02,SW MN/Nrn IA,214201
EA02,SW MN/Nrn IA,136101
EA02,SW MN/Nrn IA,213501
EA03,NE MN,210514
EA03,NE MN,211702
EA03,NE MN,210709
EA03,NE MN,211803
EA03,NE MN,210512
EA03,NE MN,210503
EA03,NE MN,210509
EA04,N WI / Wrn UP Of MI,470202
EA04,N WI / Wrn UP Of MI,470302
EA04,N WI / Wrn UP Of MI,471002
EA04,N WI / Wrn UP Of MI,470703
EA04,N WI / Wrn UP Of MI,471601
EA04,N WI / Wrn UP Of MI,471801
EA04,N WI / Wrn UP Of MI,470804
EA05,SE MN / Central WI,215601
EA05,SE MN / Central WI,473901
EA05,SE MN / Central WI,473501
EA06,NE WI / Ern UP,200703
EA06,NE WI / Ern UP,201002
EA06,NE WI / Ern UP,471301
EA06,NE WI / Ern UP,201504
EA07,Nrn LP Of MI,203802
EA07,Nrn LP Of MI,202902
EA07,Nrn LP Of MI,202010
EA08,NW IN / Srn LP Of MI,120201
EA08,NW IN / Srn LP Of MI,112001
EA08,NW IN / Srn LP Of MI,203802
EA09,Srn IA / NW MO,232401
EA09,Srn IA / NW MO,136101
EA09,Srn IA / NW MO,231301
EA09,Srn IA / NW MO,135501
EA10,Nrn IL,112001
EA10,Nrn IL,120201
EA11,Nrn IN,120201
EA11,Nrn IN,112001
EA12,SW MO,238502
EA12,SW MO,232401
EA13,SE MO,239102
EA13,SE MO,236403
EA14,Srn IL / Srn IN,119501
EA14,Srn IL / Srn IN,128905
EA14,Srn IL / Srn IN,125701
EA15,NW OH,337301
EA15,NW OH,460101
EA16,SE OH / SW PA / NW WV,338401
EA16,SE OH / SW PA / NW WV,460901
EA16,SE OH / SW PA / NW WV,460101
EA16,SE OH / SW PA / NW WV,463001
EA16,SE OH / SW PA / NW WV,463301
EA16,SE OH / SW PA / NW WV,463802
EA17,E WV,464901
EA17,E WV,465401
EA17,E WV,463501
EA18,NW PA / Wrn NY,361231
EA18,NW PA / Wrn NY,360331
EA18,NW PA / Wrn NY,361171
EA18,NW PA / Wrn NY,301101
EA19,Central PA / Central NY,360131
EA19,Central PA / Central NY,361171
EA19,Central PA / Central NY,360271
EA20,Upstate NY,300312
EA20,Upstate NY,300191
EA20,Upstate NY,300892
EA20,Upstate NY,300311
EA20,Upstate NY,300891
EA21,VT / NH / Wrn ME,430501
EA21,VT / NH / Wrn ME,430601
EA21,VT / NH / Wrn ME,270301
EA21,VT / NH / Wrn ME,430402
EA22,ME / NH Coast,170850
EA22,ME / NH Coast,171603
EA22,ME / NH Coast,170791
EA23,New England Metro,305103
EA23,New England Metro,370450
EA24,SE Mid Atlantic,182201
EA24,SE Mid Atlantic,180701
EA24,SE Mid Atlantic,180201
EA24,SE Mid Atlantic,280291
EA24,SE Mid Atlantic,280091
EA24,SE Mid Atlantic,182002
EA24,SE Mid Atlantic,281501
EA24,SE Mid Atlantic,181510
