PSA Code,Station Name,RAWSID
GB01,Payette,101044
GB01,Payette,101108
GB01,Payette,101402
GB01,Payette,101223
GB01,Payette,101109
GB01,Payette,101220
GB02,Central Idaho,101312
GB02,Central Idaho,101315
GB02,Central Idaho,101311
GB02,Central Idaho,101310
GB02,Central Idaho,101303
GB02,Central Idaho,101805
GB02,Central Idaho,101314
GB03,SW Idaho,103211
GB03,SW Idaho,103210
GB03,SW Idaho,103208
GB03,SW Idaho,102709
GB03,SW Idaho,103207
GB04,Boise Mtns,101708
GB04,Boise Mtns,101222
GB04,Boise Mtns,102712
GB05,Northern Sawtooth,102802
GB05,Northern Sawtooth,101809
GB05,Northern Sawtooth,102903
GB05,Northern Sawtooth,101812
GB06,Magic Valley,104104
GB06,Magic Valley,103209
GB06,Magic Valley,102711
GB06,Magic Valley,103205
GB06,Magic Valley,102907
GB06,Magic Valley,103403
GB07,Southern Sawtooth,104103
GB07,Southern Sawtooth,104105
GB07,Southern Sawtooth,104004
GB08,Upper Snake River,103903
GB08,Upper Snake River,104203
GB08,Upper Snake River,103703
GB08,Upper Snake River,104006
GB08,Upper Snake River,103902
GB09,Eastern Idaho Highlands,103904
GB09,Eastern Idaho Highlands,102004
GB09,Eastern Idaho Highlands,102301
GB10,Western Wyoming,481307
GB10,Western Wyoming,480707
GB10,Western Wyoming,480709
GB10,Western Wyoming,481302
GB10,Western Wyoming,481306
GB10,Western Wyoming,480708
GB11,Southern Sierra Front,43702
GB11,Southern Sierra Front,260117
GB11,Southern Sierra Front,42802
GB11,Southern Sierra Front,43707
GB12,Northern Sierra Front,261204
GB12,Northern Sierra Front,40724
GB12,Northern Sierra Front,41302
GB12,Northern Sierra Front,260108
GB12,Northern Sierra Front,260114
GB13,Lahontan Basin,260701
GB13,Lahontan Basin,260504
GB14,NW Nevada,260207
GB14,NW Nevada,260208
GB14,NW Nevada,260204
GB14,NW Nevada,260203
GB14,NW Nevada,260112
GB14,NW Nevada,260202
GB14,NW Nevada,260206
GB15,Central NV Mountains,260503
GB15,Central NV Mountains,260501
GB15,Central NV Mountains,260603
GB15,Central NV Mountains,260601
GB16,Central NV Desert,260810
GB16,Central NV Desert,261404
GB17,West Elko,260310
GB17,West Elko,260505
GB18,Jarbidge,260315
GB18,Jarbidge,260309
GB18,Jarbidge,260305
GB19,Ruby,260306
GB19,Ruby,260314
GB19,Ruby,260308
GB20,Ely North,261406
GB20,Ely North,260805
GB20,Ely North,260807
GB20,Ely North,260804
GB21,Ely South,261604
GB21,Ely South,261603
GB21,Ely South,261608
GB22,Amargosa,261408
GB23,Spring Mountain,261702
GB23,Spring Mountain,261708
GB24,Southern NV Desert,261705
GB25,NW Utah,420914
GB25,NW Utah,420911
GB25,NW Utah,420901
GB25,NW Utah,420908
GB25,NW Utah,420915
GB25,NW Utah,420403
GB26,Uinta-Wasatch,421103
GB26,Uinta-Wasatch,420706
GB26,Uinta-Wasatch,420912
GB26,Uinta-Wasatch,421101
GB27,Central Utah,421806
GB27,Central Utah,421502
GB27,Central Utah,421501
GB28,Fishlake-Henry Mountain,421807
GB28,Fishlake-Henry Mountain,421905
GB28,Fishlake-Henry Mountain,422610
GB28,Fishlake-Henry Mountain,422611
GB29,Uinta Basin,421415
GB29,Uinta Basin,421406
GB29,Uinta Basin,421416
GB29,Uinta Basin,421305
GB29,Uinta Basin,421407
GB29,Uinta Basin,421304
GB29,Uinta Basin,421301
GB30,Manti,421602
GB31,Castle,422102
GB31,Castle,421702
GB31,Castle,421405
GB31,Castle,422002
GB32,Canyon,422711
GB32,Canyon,422712
GB32,Canyon,422710
GB33,SW Utah Desert,422203
GB33,SW Utah Desert,422803
GB33,SW Utah Desert,422502
GB34,Dixie-Bryce,422606
GB34,Dixie-Bryce,422503
GB34,Dixie-Bryce,422608
GB34,Dixie-Bryce,422604
GB34,Dixie-Bryce,422807
GB34,Dixie-Bryce,422609
GB35,AZ Strip-Monuments,20224
GB35,AZ Strip-Monuments,20109
GB35,AZ Strip-Monuments,20108
GB35,AZ Strip-Monuments,20107
GB35,AZ Strip-Monuments,422806
GB35,AZ Strip-Monuments,20114
GB35,AZ Strip-Monuments,422805
