PSA Code,Station Name,RAWSID
NR01,BONNERS FERRY,100101
NR01,PRIEST LAKE,100204
NR02,LIBBY,240107
NR02,EUREKA RS,240110
NR02,TROY RS,240112
NR03,Pierce,100711
NR03,Shock,100606
NR03,Fishhook,100421
NR03,Kelly,100708
NR04,Blue Mtn (Missoula),241513
NR04,Hot Springs,241211
NR04,Plains,241206
NR04,Saint Regis,241302
NR04,Ninemile,241507
NR04,Pistol Creek,241405
NR05,Slate Creek,101037
NR05,Mission Creek,100901
NR05,Dent,100714
NR06,Fenn RS,101013
NR06,Westfork,242907
NR06,Red River,101045
NR06,Powell,101031
NR06,Sula,242905
NR06,Smith Creek,242912
NR07,Hungry Horse Rd,240217
NR07,Lincoln,241904
NR07,Benchmark,241901
NR07,West Glacier,240207
NR07,Condon,241502
NR07,Polebridge,240210
NR08,Pburg,243002
NR08,Lincoln,241904
NR08,Wise River,245405
NR08,Stinkwater,241518
NR09,Ennis,245501
NR09,Brenner,245409
NR09,Galena,243206
NR09,Antelope,245412
NR09,Wise River,245405
NR10,Gleason,241802
NR10,St Mary,240303
NR10,Browning,240307
NR10,Deep Creek,240308
NR11,Helena,241907
NR11,Dearborn,241910
NR11,South Fork Judith,242102
NR11,Little Snowy,242207
NR11,Elkhorn,243303
NR12,Hebgen,244603
NR12,Timbercrest,245607
NR12,Shenango,244601
NR12,Fishtail,244902
NR12,Main Boulder,244705
NR12,Derby Mt.,244803
NR13,King Coulee,240903
NR13,Bluff Creek,240902
NR13,Little Bull,240704
NR13,Rocky Boy,240601
NR13,Armells,242205
NR13,Horse Thief,243704
NR14,Pryor Mountain,245106
NR14,Wolf Mountain,245105
NR14,Fort Howes,245201
NR14,Little Big Horn,245108
NR14,Wild Horse,245109
NR14,Horse Thief,243704
NR15,Watford ND,321703
NR15,Lostwood ND,320220
NR15,Crosby,320101
NR15,Poplar,242501
NR15,Medicine Lake,241102
NR15,Knife River ND,322701
NR16,Cannonball Creek ND,244301
NR16,Sand Creek ND,323804
NR16,Knowlton,244102
NR16,Big Sheep,244002
NR16,Pine Hill,244201
NR16,Painted Canyon ND,322503
NR17,J. Clark Salyer,320401
NR17,Arrowwood,323536
NR17,Devil's Lake,321401
NR17,Hampden,320701
NR18,Sheyenne,324605
NR18,Arrowwood,323536
NR18,Knife River ND,322701
