PSA Code,Station Name,RAWSID
NW01,Ellis,450130
NW01,Owl Mt,450211
NW01,Cougar,450117
NW01,Jefferson,450911
NW01,Sumas,451415
NW01,Gold Mt,451613
NW01,Finney,451509
NW01,Johnson,451611
NW01,Minot,450306
NW02,CedarCk,350215
NW02,Abernathy,451209
NW02,SFork,350216
NW02,Greenwater,451718
NW02,Canyon,451921
NW02,Log,350604
NW02,Rockhouse1,351710
NW02,Kosmos,451105
NW03,Yellowstone,352024
NW03,Wanderer's,350726
NW03,Signal,352816
NW03,Trout Ck,352552
NW03,High,352550
NW03,Goodwin,352545
NW03,RedBox,350718
NW04,Calvert,352919
NW04,Buckhorn,353230
NW04,Red,352920
NW04,Zim,353227
NW04,Evans,353228
NW04,Provolt,353120
NW04,Pebble,352554
NW04,Emigrant,352558
NW04,Quail2,352915
NW05,Grayback,452404
NW05,Peoh,452206
NW05,Dry Ck,452134
NW05,Sedge,452306
NW06,Wamic,350913
NW06,Mutton,350917
NW06,Cold Spr,352701
NW06,Haystack,352107
NW06,Board Hollow,352109
NW06,Colgate,352620
NW07,Cabin,353402
NW07,Parker,353344
NW07,Round,352605
NW07,Strawberry,353423
NW07,Hoyt,353343
NW08,Kramer,452040
NW08,NCSB,452030
NW08,Lost Lk,452029
NW08,Leecher Mtn,452020
NW09,Deer,453412
NW09,Gold,452510
NW09,Owl,452513
NW09,Kettle,452916
NW10,Escure,453601
NW10,Juniper,453201
NW10,Douglas,452601
NW11,Eden,351518
NW11,Harle,351502
NW11,Case,352329
NW11,Alder,453803
NW11,Sparta,352418
NW11,Roberts,351520
NW11,BlueC,352416
NW11,Fall,352327
NW12,Antelope,353524
NW12,Grassy,353612
NW12,Moon,353526
NW12,Wagontire,353512
NW12,Owyhee,353614
