PSA Code,Station Name,RAWSID
NC01,North Coast,40427
NC01,North Coast,40428
NC01,North Coast,40421
NC01,North Coast,40102
NC01,North Coast,40425
NC02,Mid Coast To Mendocino,41406
NC02,Mid Coast To Mendocino,41411
NC02,Mid Coast To Mendocino,41005
NC02,Mid Coast To Mendocino,41001
NC02,Mid Coast To Mendocino,41015
NC03,Bay Marine,43402
NC03,Bay Marine,43304
NC03,Bay Marine,43802
NC03,Bay Marine,43009
NC04,Diablo-Santa Cruz Mtns,43404
NC04,Diablo-Santa Cruz Mtns,43809
NC04,Diablo-Santa Cruz Mtns,43008
NC04,Diablo-Santa Cruz Mtns,43502
NC05,Northwestern Mtn,40408
NC05,Northwestern Mtn,40503
NC05,Northwestern Mtn,40244
NC05,Northwestern Mtn,40812
NC05,Northwestern Mtn,40239
NC05,Northwestern Mtn,40222
NC05,Northwestern Mtn,40614
NC05,Northwestern Mtn,40516
NC05,Northwestern Mtn,40231
NC05,Northwestern Mtn,40105
NC05,Northwestern Mtn,40218
NC05,Northwestern Mtn,40217
NC05,Northwestern Mtn,40519
NC05,Northwestern Mtn,40203
NC06,Sac Valley/Foothills,41503
NC06,Sac Valley/Foothills,41907
NC06,Sac Valley/Foothills,40802
NC06,Sac Valley/Foothills,40814
NC06,Sac Valley/Foothills,41410
NC06,Sac Valley/Foothills,41211
NC06,Sac Valley/Foothills,42202
NC06,Sac Valley/Foothills,41201
NC06,Sac Valley/Foothills,40615
NC06,Sac Valley/Foothills,40816
NC06,Sac Valley/Foothills,40611
NC07,NE California,40309
NC07,NE California,40306
NC07,NE California,40228
NC07,NE California,40243
NC07,NE California,40312
NC07,NE California,40221
NC07,NE California,40308
NC07,NE California,40233
NC08,Northern Sierra,42603
NC08,Northern Sierra,41213
NC08,Northern Sierra,40916
NC08,Northern Sierra,41908
NC08,Northern Sierra,40723
NC08,Northern Sierra,40609
NC08,Northern Sierra,41701
NC08,Northern Sierra,40630
NC08,Northern Sierra,40719
NC08,Northern Sierra,41806
NC08,Northern Sierra,42601
NC08,Northern Sierra,40730
NC08,Northern Sierra,40910
NC08,Far Eastside,260111
NC08,Far Eastside,40728
NC08,Far Eastside,40709
NC08,Far Eastside,40714
NC08,Far Eastside,41310
