PSA Code,Station Name,RAWSID
RM01,Eagle,480214
RM01,Elkhorn,481410
RM02,Crandall,480213
RM02,Grass Creek,480804
RM02,Hyatt High,480307
RM02,Leigh Creek,480906
RM02,Rattlesnake,480212
RM02,Split Rock,480904
RM03,School House,481002
RM03,Leigh Creek,480906
RM04,Echeta,480501
RM04,Rochelle Hills,480502
RM04,Indian Butte,390901
RM05,Nemo,392506
RM05,Rushmore,392603
RM06,Red Canyon,395105
RM06,WICA Elk Mountain,393505
RM06,Custer West,393506
RM07,Anderson Ridge,481903
RM07,Snow Springs Creek,481904
RM07,Muddy Creek,481801
RM08,Camp Creek,482010
RM08,Casper Mountain,481502
RM08,Fales Rock,481504
RM08,Wind River,481411
RM08,Poker Creek,481003
RM09,Dodge Creek,482106
RM09,Ester Brook,482102
RM10,Great Divide,50106
RM11,Porcupine,50406
RM11,Dead Horse,51404
RM11,Willow Creek,50304
RM11,Sawmill,482105
RM12,Sugarloaf,50604
RM12,Redstone,50508
RM13,Red Feather,50505
RM13,Estes Park,50507
RM13,Bailey,52001
RM13,Pickle Gulch,51901
RM14,Dragon Road,51407
RM14,Pinto,51402
RM14,Demaree,51507
RM14,Little Delores,52410
RM14,Hunter Creek,51406
RM14,Rifle,51504
RM14,Pine Ridge,52407
RM15,Crown,51506
RM15,Dowd Jct,51606
RM15,Gypsum,51607
RM15,Soda Creek,51703
RM16,Black Canyon,53806
RM16,Carpenter Ridge,53808
RM16,Cottonwood Basin,53805
RM16,Dominguez,52409
RM16,Jay,52704
RM16,Sanborn,53804
RM16,Nulca,53807
RM17,Huntsman Mesa,52813
RM17,Lujan,54702
RM17,Red Deer,52902
RM17,Taylor Park,52812
RM18,Cheeseman,53102
RM18,Copper Gulch,53904
RM18,Fort Carson,53603
RM18,Lake George,53002
RM19,Chapin,55704
RM19,Mesa Mountain,55805
RM19,Salter,55205
RM20,Bighorn,56005
RM20,Blue Park,55305
RM21,Sand Dunes,55503
RM21,Bighorn,56005
RM22,Four Mile,53903
RM22,Bosque (Cuchara),56203
RM22,Copper Gulch,53904
RM23,Bear Creek,391201
RM23,Huron,393101
RM23,Fort Pierre,393801
RM23,Magpie,395601
RM23,Lake Andes,395901
RM24,Kincan,250203
RM24,Pinnacles,392602
RM25,Agate,250105
RM25,Scotts Bluff,251905
RM26,Valentine,250402
RM26,Bessey,252402
RM27,Pinion Canyon,56202
RM27,Cimarron,148601
RM28,Stafford,146501
RM28,Kirwin,140401
RM28,Potowatomi,142301
