PSA Code,Station Name,RAWSID
SA01,TX  Pan N,418701
SA01,TX  Pan N,418702
SA01,TX  Pan N,418801
SA01,TX  Pan N,418803
SA01,TX  Pan N,418901
SA02,OK West,341541
SA02,OK West,341640
SA02,OK West,342540
SA02,OK West,343301
SA02,OK West,345801
SA03,OK Cent,341840
SA03,OK Cent,342640
SA03,OK Cent,344540
SA03,OK Cent,345940
SA03,OK Cent,347240
SA04,TX  Pan S,418801
SA04,TX  Pan S,418901
SA04,TX  Pan S,418902
SA04,TX  Pan S,419002
SA05,TX  Cent NW,418901
SA05,TX  Cent NW,418902
SA05,TX  Cent NW,419301
SA05,TX  Cent NW,419401
SA06,TX  Cent NE,419402
SA06,TX  Cent NE,419601
SA06,TX  Cent NE,419701
SA06,TX  Cent NE,419702
SA07,TX  East N,410202
SA07,TX  East N,410401
SA07,TX  East N,411401
SA07,TX  East N,412101
SA07,TX  East N,419602
SA08,TX  Mountains,417101
SA08,TX  Mountains,417201
SA08,TX  Mountains,417403
SA09,TX  West,417601
SA09,TX  West,417701
SA09,TX  West,419202
SA10,TX  Cent SW,417701
SA10,TX  Cent SW,418001
SA10,TX  Cent SW,419203
SA10,TX  Cent SW,419403
SA10,TX  Cent SW,419502
SA11,TX  Cent SE,415501
SA11,TX  Cent SE,416601
SA11,TX  Cent SE,418101
SA11,TX  Cent SE,419501
SA11,TX  Cent SE,419802
SA12,TX  East S,413101
SA12,TX  East S,413701
SA12,TX  East S,415109
SA12,TX  East S,416101
SA12,TX  East S,416601
SA13,TX  NE Coast,415201
SA13,TX  NE Coast,416099
SA13,TX  NE Coast,416601
SA13,TX  NE Coast,418301
SA13,TX  NE Coast,419901
SA14,TX Rio Grande Plains N,418001
SA14,TX Rio Grande Plains N,418101
SA14,TX Rio Grande Plains N,418102
SA14,TX Rio Grande Plains N,418201
SA15,TX  South Coast,418202
SA15,TX  South Coast,418502
SA15,TX  South Coast,418603
SA16,TX Rio Grande Plains S,418602
SA16,TX Rio Grande Plains S,418604
SA16,TX Rio Grande Plains S,418605
SA17,OK East,341240
SA17,OK East,342040
SA17,OK East,344140
SA17,OK East,346303
SA17,OK East,347701
SA18,AR West,31201
SA18,AR West,31404
SA18,AR West,32001
SA18,AR West,33001
SA18,AR West,33202
SA19,AR East,31502
SA19,AR East,35102
SA19,AR East,36502
SA19,AR East,36901
SA20,LA W,160401
SA20,LA W,161803
SA20,LA W,161902
SA20,LA W,162302
SA20,LA W,162502
SA21,LA Coast Center & West,165102
SA21,LA Coast Center & West,165103
SA21,LA Coast Center & West,414501
SA22,LA Coast Southeast Toe,165002
SA22,LA Coast Southeast Toe,228002
SA22,LA Coast Southeast Toe,228202
SA23,MS  Coast,165002
SA23,MS  Coast,228002
SA23,MS  Coast,228202
SA23,MS  Coast,228204
SA24,AL Coast,16703
SA24,AL Coast,227601
SA24,AL Coast,228204
SA25,MS  Cent & South,223501
SA25,MS  Cent & South,224601
SA25,MS  Cent & South,225301
SA25,MS  Cent & South,227001
SA25,MS  Cent & South,227601
SA26,LA E,165002
SA26,LA E,227001
SA26,LA E,227202
SA27,MS  North,220202
SA27,MS  North,220601
SA27,MS  North,222101
SA27,MS  North,222401
SA28,TN W,159901
SA28,TN W,404001
SA28,TN W,408001
SA28,TN W,408302
SA29,TN Cent,400902
SA29,TN Cent,402102
SA29,TN Cent,406601
SA29,TN Cent,407102
SA29,TN Cent,409201
SA30,TN Mountains,403301
SA30,TN Mountains,403604
SA30,TN Mountains,405101
SA31,KY West,150703
SA31,KY West,151191
SA31,KY West,156502
SA31,KY West,159901
SA32,KY Mountains,152001
SA32,KY Mountains,154401
SA32,KY Mountains,154801
SA32,KY Mountains,157002
SA33,VA SW Mountains,159801
SA33,VA SW Mountains,447502
SA33,VA SW Mountains,448502
SA34,VA West Mountains,440402
SA34,VA West Mountains,441801
SA34,VA West Mountains,441906
SA34,VA West Mountains,444002
SA34,VA West Mountains,447502
SA35,VA Cent,180303
SA35,VA Cent,310301
SA35,VA Cent,310801
SA35,VA Cent,441906
SA35,VA Cent,446801
SA36,VA Coast,181510
SA36,VA Coast,446801
SA36,VA Coast,449801
SA36,VA Coast,449905
SA37,NC Mountains,312001
SA37,NC Mountains,313302
SA37,NC Mountains,315602
SA37,NC Mountains,315803
SA38,GA  Mountains,90402
SA38,GA  Mountains,90601
SA38,GA  Mountains,90701
SA38,GA  Mountains,91201
SA38,GA  Mountains,91301
SA39,SC Mountains,90802
SA39,SC Mountains,380102
SA40,NC Cent,310301
SA40,NC Cent,310801
SA40,NC Cent,312501
SA40,NC Cent,314602
SA40,NC Cent,316302
SA41,NC Coastal Plain,317501
SA41,NC Coastal Plain,318503
SA41,NC Coastal Plain,319302
SA42,NC Coast,311503
SA42,NC Coast,315201
SA42,NC Coast,319402
SA42,NC Coast,319507
SA42,NC Coast,319701
SA43,SC Cent,380601
SA43,SC Cent,380902
SA43,SC Cent,381201
SA43,SC Cent,383101
SA44,SC Coastal Plain,319701
SA44,SC Coastal Plain,383401
SA44,SC Coastal Plain,383701
SA45,SC Coast,384002
SA45,SC Coast,384101
SA45,SC Coast,384201
SA46,AL North,10702
SA46,AL North,12201
SA46,AL North,12701
SA47,AL South,13201
SA47,AL South,14201
SA47,AL South,15902
SA47,AL South,225301
SA48,GA  North,90401
SA48,GA  North,91101
SA48,GA  North,92201
SA48,GA  North,92901
SA49,GA  Cent,93701
SA49,GA  Cent,94501
SA49,GA  Cent,95501
SA49,GA  Cent,95701
SA50,GA  South,96201
SA50,GA  South,96301
SA50,GA  South,98201
SA50,GA  South,98401
SA50,GA  South,99701
SA51,GA  Coast,96801
SA51,GA  Coast,98801
SA51,GA  Coast,99902
SA51,GA  Coast,384201
SA52,FL Northwest,15902
SA52,FL Northwest,80802
SA52,FL Northwest,82001
SA52,FL Northwest,82002
SA52,FL Northwest,82201
SA53,FL Northeast,81301
SA53,FL Northeast,81302
SA53,FL Northeast,83001
SA53,FL Northeast,83502
SA54,FL Central,84802
SA54,FL Central,83501
SA54,FL Central,83502
SA54,FL Central,84402
SA55,FL South,84802
SA55,FL South,85801
SA55,FL South,86001
SA55,FL South,86405
SA55,FL South,86704
SA56,PR,512901
SA56,PR,516301
