PSA Code,Station Name,RAWSID
SW01,Tusayan,20207
SW01,Dry Park,20212
SW01,Frazier Wells,20213
SW02,Moss Basin,20115
SW02,Iron Springs,20501
SW02,Stanton,20509
SW03,Squaw Lake,45801
SW04,Piney Hill,20402
SW04,Washington Pass,290101
SW04,Albino,290102
SW05,Flagstaff,20209
SW05,Heber,20301
SW05,Lakeside,20303
SW06,Globe,20601
SW06,Tonto Basin,20606
SW07,Columbine,21005
SW07,Muleshoe,21007
SW07,Saguaro,21202
SW07,Sasabe,21206
SW08,Jemez,290702
SW08,Tower,290801
SW08,Grants,291302
SW09,Alpine,20401
SW09,Beaverhead,292001
SW09,Slaughter,292008
SW09,Pelona,292009
SW10,Bosque,292103
SW10,Hachita Valley,292702
SW10,Dripping Springs,292903
SW11,Truchas,290210
SW11,Pecos,291202
SW12,Mountainair,291501
SW12,Chupadera,292102
SW13,Smokey Bear,292203
SW13,Mayhill,293002
SW13,Mescal,293003
SW14,Cedar,418701
SW14,Eight Mile,292301
SW15,Eight Mile,292301
SW15,Batdraw,293101
SW15,Caprock,293104
